"singular","plural","gender","translation","mistakes"
"Kreuz","Kreuze","n","cruz",4.0
"Krieg","Kriege","m","guerra",1.0
"Kritik","Kritiken","f","crítica",1.0
"Krokodil","Krokodile","n","cocodrilo",1.0
"Kryptowährung","Kryptowährungen","f","criptomoneda",1.0
"Kröte","Kröten","f","sapo",1.0
"Krümel","Krümel","m","miga de pan",1.0
"Kuchen","Kuchen","m","torta",1.0
"Kugel","Kugeln","f","bola, esfera",1.0
"Kugelschreiber","Kugelschreiber","m","bolígrafo",1.0
"Kuh","Kühe","f","vaca",1.0
"Kuhkalb","Kuhkälber","n","ternera",1.0
"Kultur","Kulturen","f","cultura",1.0
"Kumpel","Kumpel","m","compañero",1.0
"Kunde","Kunden","mf","cliente(m), noticia(f)",1.0
"Kundenkreis","Kundenkreise","m","clientela",1.0
"Kundin","Kundinnen","f","clienta",1.0
"Kunst","Künste","f","arte",3.0
"Kunststoff","Kunststoffe","m","plástico",2.0
"Kupfer","-","n","cobre",1.0
"Kurs","Kurse","m","curso, rumbo, cotización, cambio",1.0
"Kälte","-","f","frío",2.0
"Käse","Käse","m","queso",1.0
"Körper","Körper","m","cuerpo",1.0
"Körperhaltung","Körperhaltungen","f","postura",1.0
"Küche","Küchen","f","cocina",2.0
"Kühlschrank","Kühlschränke","m","heladera",1.0
"Kürbis","Kürbisse","m","zapallo",2.0
"Küste","Küsten","f","costa",1.0
"LKW","LKWs","m","camión",1.0
"Label","Label","n","etiqueta, identificación",1.0
"Lage","Lagen","f","sitio, posición, situación",1.0
"Lager","Lager","n","almacén, depósito",1.0
"Laden","Läden","m","tienda, negocio, carga",13.0
"Lamm","Lämmer","n","cordero",1.0
"Lampe","Lampen","f","lampara",1.0
"Land","Länder","n","país",1.0
"Landkreis","Landkreise","m","distrito administrativo",1.0
"Landschaft","Landschaften","f","paisaje",1.0
"Laser","Laser","m","láser",1.0
"Laterne","Laternen","f","linterna, farola",1.0
"Leben","Leben","n","vida",1.0
"Lebensmitte","-","f","mitad de la vida",1.0
"Lebensmittel","Lebensmittel","n","comestibles",1.0
"Legende","Legenden","f","leyenda, cuento",1.0
"Lehrer","Lehrer","m","maestro",1.0
"Lehrerin","Lehrerinnen","f","maestra",1.0
"Leiter","Leitern","f","escalera",1.0
"Leitung","Leitungen","f","conducción, línea, dirección",1.0
"Licht","Lichter","n","luz",1.0
"Lied","Lieder","n","canción",1.0
"Lieferung","Lieferungen","f","entrega, envio",1.0
"Lineal","Lineale","n","regla",9.0
"Loch","Löcher","n","agujero",1.0
"Lokführer","Lokführer","m","maquinista de tren",7.0
"Lokführerin","Lokführerinnen","f","maquinista de tren",7.0
"Lokomotive","Lokomotiven","f","locomotora",5.0
"Losung","Losungen","f","lema, consigna",1.0
"Lotterie","Lotterien","f","loteria",1.0
"Luft","-","f","aire",3.0
"Luftwaffe","Luftwaffen","f","fuerza aérea",1.0
"Lust","-","f","ganas de algo",1.0
"Löffel","Löffel","m","cuchara",1.0
"Lösung","Lösungen","f","solución",1.0
"Löwe","Löwen","m","león",1.0
"Lüge","Lügen","f","mentira",10.0
"Macht","Mächte","f","poder, potencia",1.0
"Mahnung","Mahnungen","f","amonestación, recordatorio, requerimiento",2.0
"Mai","Maie","m","mayo",1.0
"Mal","Male","n","vez",1.0
"Mann","Männer","m","hombre",1.0
"Mannschaft","Mannschaften","f","equipo deportivo, tripulación",4.0
"Mantel","Mäntel","m","abrigo",1.0
"Mappe","Mappen","f","carpeta",1.0
"Marine","Marinen","f","marina",1.0
"Maschine","Maschinen","f","máquina",1.0
"Maschinengewehr","Maschinengewehre","n","ametralladora",1.0
"Maske","Masken","f","mascara",1.0
"Maskulinum","Maskulina","n","género masculino",1.0
"Material","Materialien","n","material",1.0
"Mauer","Mauern","f","muro",1.0
"Maus","Mäuse","f","ratón",1.0
"Maß","Maße","n","medida, dimensión",13.0
"Maßnahme","Maßnahmen","f","medida",2.0
"Mechanik","-","f","física - mecánica",1.0
"Medikament","Medikamente","n","medicamento, remedio",6.0
"Medizin","Medizinen","f","medicina, medicamento",1.0
"Meer","Meere","n","mar",1.0
"Meinung","Meinungen","f","significado, opinión, parecer",1.0
"Meister","Meister","m","maestro, experto",1.0
"Meisterin","Meisterinnen","f","maestra, experta",2.0
"Menge","Mengen","f","cantidad, monton",1.0
"Mensa","Mensen/Mensas","f","comedor universitario",1.0
"Mensch","Menschen","m","ser humano, hombre",1.0
"Messehalle","Messehallen","f","nave de la deria, pabellón",1.0
"Messer","Messer","n","cuchillo",1.0
"Miete","Mieten","f","alquiler",1.0
"Minute","Minuten","f","minuto",1.0
"Mischung","Mischungen","f","mezcla",1.0
"Mitarbeiter","Mitarbeiter","m","empleado",1.0
"Mitarbeiterin","Mitarbeiterinnen","f","empleada",1.0
"Mitglied","Mitglieder","n","miembro",1.0
"Mitleid","-","n","lástima, compasión",1.0
"Mittagessen","Mittagessen","n","almuerzo",1.0
"Mitteilung","Mitteilungen","f","aviso, comunicación, informe",1.0
"Mittel","Mittel","n","medio, remedio, recurso",1.0
"Mittwoch","Mittwoche","m","miercoles",1.0
"Modul","Moduln","m","módulo",8.0
"Mole","Molen","f","muelle",1.0
"Monat","Monate","m","mes",1.0
"Mond","Monde","m","luna",1.0
"Monitor","Monitoren","m","monitor, pantalla",1.0
"Montag","Montage","m","lunes",1.0
"Moskito","Moskitos","m","mosquito",1.0
"Motel","Motels","n","motel",1.0
"Motor","Motoren","m","motor",1.0
"Motto","Mottos","n","lema",1.0
"Mund","Münder","m","boca",1.0
"Museum","Museen","n","museo",1.0
"Musik","-","f","música",1.0
"Mutter","Mütter","f","madre",1.0
"Mädchen","Mädchen","n","niña",2.0
"Märchen","Märchen","n","cuento de hadas",1.0
"März","Märze","m","marzo",1.0
"Möglichkeit","Möglichkeiten","f","posibilidad, oportunidad",1.0
"Mörder","Mörder","m","asesino",1.0
"Mülleimer","Mülleimer","m","tacho de basura",1.0
"Münze","Münzen","f","moneda",1.0
"Nachbar","Nachbarn","m","vecino",1.0
"Nachbarin","Nachbarinnen","f","vecina",1.0
"Nachricht","Nachrichten","f","noticia",1.0
"Nacht","Nächte","f","noche",1.0
"Nachteil","Nachteile","m","desventaja, inconveniente",1.0
"Nachweis","Nachweise","m","prueba, comprobación, certificado",1.0
"Name","Namen","m","nombre",1.0
"Nase","Nasen","f","nariz",1.0
"Nazi","Nazis","m","nazi",1.0
"Nebenwirkung","Nebenwirkungen","f","efecto secundario",1.0
"Neffe","Neffen","m","sobrino",1.0
"Nerv","Nerven","m","nervio",3.0
"Netzwerk","Netzwerke","n","red",1.0
"Neugierde","-","f","curiosidad",2.0
"Neuigkeit","Neuigkeiten","f","novedad",1.0
"Neutrum","Neutra","n","género neutro",1.0
"Nichte","Nichten","f","sobrina",1.0
"Nichts","-","n","nada",1.0
"Niederlassung","-","f","establecimiento",1.0
"Niederschlag","Niederschläge","m","precipitación",3.0
"Nominativ","Nominative","m","nominativo",1.0
"Nord","-","m","norte",1.0
"Norden","-","m","norte",1.0
"Notfall","Notfälle","m","urgencia",1.0
"Notwendigkeit","-","f","necesidad",1.0
"November","November","m","noviembre",1.0
"Nudel","Nudeln","f","pasta, fideos",2.0
"Nummer","Nummern","f","número",1.0
"Nutte","Nutten","f","puta",1.0
"Ohr","Ohren","n","oreja",1.0
"Oktober","Oktober","m","octubre",1.0
"Olive","Oliven","f","aceituna",1.0
"Onkel","Onkel","m","tío",1.0
"Opel","Opels","m","opel",1.0
"Opfer","Opfer","n","víctima, ofrenda, sacrificio",1.0
"Orange","Orangen","f","naranja",1.0
"Orbit","Orbits","m","órbita",1.0
"Ordner","Ordner","m","archivador, carpeta",1.0
"Organisation","-","f","organización",1.0
"Ort","Orte","m","lugar",1.0
"Ost","-","m","este",5.0
"Osten","-","m","este",1.0
"Ozean","Ozeane","m","oceano",1.0
"Paket","Pakete","n","paquete",1.0
"Pandemie","Pandemien","f","pandemia",1.0
"Panne","Pannen","f","avería, contratiempo",1.0
"Panzer","Panzer","m","tanque",1.0
"Papier","Papiere","n","papel",1.0
"Park","Parks","m","parque",1.0
"Parkplatz","Parkplätze","m","estacionamiento",1.0
"Partner","Partner","m","compañero",1.0
"Partnerin","Partnerinnen","f","compañera",1.0
"Person","Personen","f","persona",1.0
"Pfanne","Pfannen","f","sarten",1.0
"Pfeil","Pfeile","m","flecha",1.0
"Pferd","Pferde","n","caballo",1.0
"Pflanze","Pflanzen","f","planta",1.0
"Phantasie","Phantasien","f","fantasía, imaginación",1.0
"Physik","-","f","física",1.0
"Piano","Pianos","n","piano",1.0
"Pilot","Piloten","m","piloto",1.0
"Pilsner","Pilsner","n","cerveza pilsen",1.0
"Pizza","Pizzas/Pizzen","f","piza",1.0
"Plan","Pläne","m","plan, proyecto, intención",4.0
"Planet","Planeten","m","planeta",1.0
"Platz","Plätze","m","plaza",1.0
"Politik","Politiken","f","política",1.0
"Porsche","Porsches","m","porsche",1.0
"Post","-","f","correo",1.0
"Poster","Posters","mn","póster",1.0
"Postler","Postler","m","cartero",1.0
"Privatsphäre","Privatsphären","f","privacidad",1.0
"Problem","Probleme","n","problema",1.0
"Produkt","Produkte","n","producto",1.0
"Programm","Programme","n","programa",1.0
"Projekt","Projekte","n","proyecto",1.0
"Pronomen","Pronomen/Pronomina","n","pronombre",1.0
"Propeller","Propeller","m","hélice",1.0
"Prospekt","Prospekte","mn","folleto, prospecto",1.0
"Protokoll","Protokolle","n","protocolo, acta",1.0
"Prototyp","Prototypen","m","prototipo",4.0
"Protz","Protze","m","fanfarrón, presumido",10.0
"Prozess","Prozesse","m","proceso",1.0
"Präsens","Präsentia/Präsenzien","n","presente (tiempo verbal)",4.0
"Präsentation","Präsentationen","f","presentación",1.0
"Präteritum","Präterita","n","pretérito, pasado (tiempo verbal)",1.0
"Prüfung","Prüfungen","f","examen",1.0
"Publikation","Publikationen","f","publicación",1.0
"Publikum","-","n","público",1.0
"Pumpe","Pumpen","f","bomba",1.0
"Püree","Pürees","n","puré",1.0
"Quittung","Quittungen","f","recibo con validez jurídica",1.0
"Rabe","Raben","m","cuervo",2.0
"Rad","Räder","n","rueda",1.0
"Radarsicht","-","f","visibilidad radar",1.0
"Radiergummi","Radiergummis","mn","goma de borrar",6.0
"Radio","Radios","n","radio",1.0
"Rakete","Raketen","f","cohete",1.0
"Rand","Ränder","m","borde, periferia",1.0
"Rat","Räte","m","consejo",1.0
"Ratte","Ratten","f","rata",1.0
"Raum","Räume","m","habitación",2.0
"Raumschiff","Raumschiffe","n","nave espacial",1.0
"Realität","Realitäten","f","realidad",1.0
"Rechner","Rechner","m","calculadora",1.0
"Rechnung","Rechnungen","f","cuenta",1.0
"Recht","Rechte","n","derecho",1.0
"Regal","Regale","n","estante",1.0
"Regel","Regeln","f","regla, norma",1.0
"Regen","Regen","m","lluvia",1.0
"Regenbogen","Regenbogen","m","arcoíris",1.0
"Regenschirm","Regenschirme","m","paraguas",1.0
"Regierung","Regierungen","f","gobierno",1.0
"Reich","Reiche","n","reino, imperio",1.0
"Reichstag","-","m","parlamento alemán",1.0
"Reis","-","m","arroz",1.0
"Reise","Reisen","f","viaje",1.0
"Reiseziel","Reiseziele","n","destino",1.0
"Rekord","Rekorde","m","récord",11.0
"Rente","Renten","f","pensión",1.0
"Restaurant","Restaurants","n","restaurante",1.0
"Richtung","Richtungen","f","dirección",1.0
"Ring","Ringe","m","anillo",1.0
"Rippe","Rippen","f","costilla",1.0
"Risiko","Risikos/Risiken","n","riesgo",1.0
"Rubrik","Rubriken","f","categoría",2.0
"Rucksack","Rucksäcke","m","mochila",6.0
"Ruine","Ruinen","f","ruina",16.0
"Runde","Runden","f","reunión, tertulia, vuelta, ronda",10.0
"Räderwerk","Räderwerke","n","engranaje",1.0
"S-Bahn","S-Bahnen","f","metro",1.0
"Sachbearbeiter","Sachbearbeiter","m","oficial encargado",1.0
"Sachbearbeiterin","Sachbearbeiterinnen","f","oficial encargada",1.0
"Sache","Sachen","f","cosa",1.0
"Sack","Säcke","m","saco (bolso)",4.0
"Saft","Säfte","m","jugo",2.0
"Salami","Salamis","f","salame",1.0
"Salat","Salate","m","ensalada",1.0
"Salon","Salons","m","salón",1.0
"Sammelbegriff","Sammelbegriffe","m","concepto genérico",1.0
"Sammlung","Sammlungen","f","recaudación, colección",1.0
"Samstag","Samstage","m","sabado",1.0
"Sand","-","m","arena",1.0
"Satellit","Satelliten","m","satélite",1.0
"Satz","Sätze","m","oración",1.0
"Scanner","Scanner","m","escáner",1.0
"Schaf","Schafe","n","oveja",1.0
"Schal","Schals/Schale","m","bufanda",5.0
"Schatten","Schatten","m","sombra",1.0
"Schatz","Schätze","m","tesoro",1.0
"Schauer","Schauer","m","aguacero, escalofrío",1.0
"Schaufenster","Schaufenster","n","vidriera",1.0
"Schein","Scheine","m","billete (dinero)",2.0
"Schicksal","Schicksale","n","destino, plan, suerte",1.0
"Schiff","Schiffe","n","barco",1.0
"Schildkröte","Schildkröten","f","tortuga",1.0
"Schimmel","-","m","moho",9.0
"Schimmel","Schimmel","m","caballo blanco",1.0
"Schinken","Schinken","m","jamón",1.0
"Schirm","Schirme","m","paraguas, sombrilla",1.0
"Schlacht","Schlachten","f","batalla",1.0
"Schlamm","Schlämme","m","lodo, barro",1.0
"Schleier","Schleier","m","velo, cortina",1.0
"Schloss","Schlösser","n","castillo",1.0
"Schlüssel","Schlüssel","m","llave",1.0
"Schmetterling","Schmetterlinge","m","mariposa",1.0
"Schmuck","-","m","joyas",1.0
"Schmutz","-","m","suciedad, inmendicia, basura",1.0
"Schnauze","Schnauzen","f","soplon, ser bocaza, hocico",1.0
"Schneide","Schneiden","f","filo, cuchilla",10.0
"Schnelligkeit","-","f","velocidad, rapidez",1.0
"Schnitzel","Schnitzel","n","milanesa, escalope",1.0
"Schokolade","Schokoladen","f","chocolate",1.0
"Schonzeit","Schonzeiten","f","tiempo de veda",1.0
"Schornstein","Schornsteine","m","chimenea",1.0
"Schrank","Schränke","m","armario, ropero",1.0
"Schraube","Schrauben","f","tornillo",1.0
"Schraubenmutter","Schraubenmütter","f","tuerca",1.0
"Schraubenzieher","Schraubenzieher","m","desatornillador",1.0
"Schrei","Schreie","m","grito, chillido, berrido",10.0
"Schreiben","Schreiben","n","escrito, carta",8.0
"Schreibtisch","Schreibtische","m","escritorio",1.0
"Schrotflinte","Schrotflinten","f","escopeta",1.0
"Schrott","-","m","chatarra",1.0
"Schuh","Schuhe","m","zapato",1.0
"Schuhwerk","Schuhwerke","n","calzado",1.0
"Schulabschluss","Schulabschlüsse","m","título/diploma escolar",1.0
"Schuld","-","f","culpa",1.0
"Schuld","Schulden","f","deuda",2.0
"Schule","Schulen","f","escuela",1.0
"Schutz","-","m","protección, amparo",1.0
"Schwager","Schwäger","m","cuñado",1.0
"Schweigen","-","n","silencio",11.0
"Schwein","Schweine","n","cerdo",1.0
"Schwerkraft","-","f","fuerza de gravedad",2.0
"Schwert","Schwerter","n","espada",1.0
"Schwester","Schwestern","f","hermana",1.0
"Schwiegermutter","Schwiegermütter","f","suegra",1.0
"Schwiegervater","Schwiegerväter","m","suegro",1.0
"Schwierigkeit","Schwierigkeiten","f","dificultad",1.0
"Schwägerin","Schwägerinnen","f","cuñada",3.0
"Schärfe","-","f","picante",1.0
"Schönheit","Schönheiten","f","belleza",1.0
"Schönsein","-","n","belleza",1.0
"Schüssel","Schüsseln","f","fuente",5.0
"See","Seen","m","mar",1.0
"Seele","Seelen","f","alma",1.0
"Seemann","Seemänner","m","marinero",1.0
"Segel","Segel","n","vela de barco",1.0
"Segelschiff","Segelschiffe","n","velero",1.0
"Sehnsucht","Sehnsüchte","f","ansia, nostalgia, ahhelo",1.0
"Seife","Seifen","f","jabón",1.0
"Seil","Seile","n","alambre, cuerda",2.0
"Seite","Seiten","f","página, lado, parte",1.0
"Sekunde","Sekunden","f","segundo",1.0
"Seminar","Seminare","n","seminario",1.0
"Sendung","Sendungen","f","envío, emisión, programa de tv o radio",2.0
"Sensor","Sensoren","m","sensor",1.0
"September","September","m","september",1.0
"Service","-","m","servicio, asistencia",2.0
"Sessel","Sessel","m","sillon",1.0
"Sicherheit","Sicherheiten","f","seguridad, garantía, certeza",1.0
"Sicherung","Sicherungen","f","protección, fusible, consolidación",1.0
"Sinn","Sinne","m","sentido",1.0
"Situation","Situationen","f","situación",1.0
"Sofa","Sofas","n","sofa",1.0
"Sohn","Söhne","m","hijo",1.0
"Sommer","Sommer","m","verano",1.0
"Sonne","Sonnen","f","sol",1.0
"Sonntag","Sonntage","m","domingo",1.0
"Sorge","Sorgen","f","preocupación, inquietud, pena, temor",10.0
"Spatz","Spatzen","m","gorrión",1.0
"Sperre","Sperren","f","barrera, bloqueo, suspensión",1.0
"Sphäre","Sphären","f","esfera",1.0
"Spiegel","Spiegel","m","espejo",1.0
"Spiel","Spiele","n","juego",1.0
"Spinne","Spinnen","f","araña",1.0
"Sport","-","m","deporte",1.0
"Sprache","Sprachen","f","idioma",1.0
"Spritze","Spritzen","f","jeringa, inyección",1.0
"Spülmittel","Spülmittel","n","detergente vajilla",1.0
"Staat","Staaten","m","estado, gobierno",1.0
"Stadt","Städte","f","ciudad",1.0
"Stadtrand","Stadtränder","m","afueras de la ciudad",1.0
"Start","Starts","m","comienzo",1.0
"Statue","Statuen","f","estatua",1.0
"Stau","Staus/Staue","m","atasco, embotellamiento",1.0
"Steak","Steaks","n","bife",1.0
"Steckdose","Steckdosen","f","tomacorriente",1.0
"Stecker","Stecker","m","enchufe, conector",1.0
"Stein","Steine","m","piedra",1.0
"Stelle","Stellen","f","lugar",1.0
"Stern","Sterne","m","estrella",1.0
"Steuer","Steuer","n","impuesto",1.0
"Steuerfrau","Steuerfrauen","f","timonel",3.0
"Steuermann","Steuermänner","m","timonel",1.0
"Steuersatz","Steuersätze","m","taze de impuesto",1.0
"Stiefel","Stiefel","m","bota",1.0
"Stier","Stiere","m","toro",1.0
"Stimme","Stimmen","f","voz",1.0
"Stoff","-","m","material",1.0
"Straftat","Straftaten","f","delito",1.0
"Strand","Strände","m","playa",1.0
"Straße","Straßen","f","calle",1.0
"Strom","Ströme","m","corriente",1.0
"Student","Studenten","m","estudiante",1.0
"Studentin","Studentinnen","f","estudiante",1.0
"Stuhl","Stühle","m","silla",1.0
"Stunde","Stunden","f","hora",1.0
"Sturm","Stürme","m","tormenta, teporal",1.0
"Stück","Stücke","n","pieza, trozo, pedazo",7.0
"Substantiv","Substantive","n","sustantivo",1.0
"Suche","Suchen","f","búsqueda",1.0
"Supermarkt","Supermärkte","m","supermercado",1.0
"Sympathie","Sympathien","f","simpatía",1.0
"Synonym","Synonyme","n","sinónimo",1.0
"Süd","-","m","sur",1.0
"Süden","-","m","sur",1.0
"T-Shirt","T-Shirts","n","camiseta",1.0
"Tag","Tage","m","día",1.0
"Taille","Taillen","f","cintura",1.0
"Tante","Tanten","f","tía",1.0
"Tasche","Taschen","f","bolsillo",1.0
"Taschentuch","Taschentücher","n","pañuelo de bolsillo",1.0
"Tasse","Taseen","f","taza",1.0
"Taste","Tasten","f","tecla",1.0
"Tastsinn","-","m","sentido del tacto",1.0
"Tat","Taten","f","hecho, acción, acto",1.0
"Taube","Tauben","f","paloma",1.0
"Tausch","Tausche","m","cambio, trueque",11.0
"Team","Teams","n","equipo",1.0
"Tee","Tees","m","té, infusión",1.0
"Teil","Teile","mn","pieza, parte",1.0
"Teilnahme","-","f","participación",1.0
"Teilnehmer","Teilnehmer","m","participante",1.0
"Teilnehmerin","Teilnehmerinnen","f","participante",1.0
"Telefon","Telefone","n","teléfono",1.0
"Teller","Teller","m","plato",1.0
"Temperatur","Temperaturen","f","temperatura",1.0
"Tempo","Tempos","n","velocidad, tiempo, ritmo",1.0
"Teppich","Teppiche","m","alfombra",2.0
"Termin","Termine","m","fecha",1.0
"Test","Tests/Teste","m","prueba",1.0
"Teufel","Teufel","m","diablo",1.0
"Theater","Theater","n","teatro",1.0
"Thema","Themen","n","tema, asunto",1.0
"Theorie","Theorien","f","teoría",1.0
"Thermometer","Thermometer","n","termómetro",1.0
"These","Thesen","f","tesis",1.0
"Tiefe","Tiefen","f","profundidad, intensidad",1.0
"Tipp","Tipps","m","consejo, recomendación",1.0
"Tisch","Tische","m","mesa",1.0
"Titel","Titel","m","título",1.0
"Tochter","Töchter","f","hija",1.0
"Tod","Tode","m","muerte, fallecimiento, defunción",1.0
"Toilette","Toiletten","f","baño",1.0
"Tomate","Tomaten","f","tomate",1.0
"Topf","Töpfe","m","olla",4.0
"Topfblume","Topfblumen","f","planta de maceta",1.0
"Tote","Toten","mf","muerto/a",2.0
"Training","Trainings","n","entrenamiento",2.0
"Transformator","Transformatoren","m","transformador",1.0
"Traube","Trauben","f","uva",1.0
"Traum","Träume","m","sueño de soñar",1.0
"Treffen","Treffen","n","encuentro",1.0
"Treppe","Treppen","f","escalera",1.0
"Triebwerk","Triebwerke","n","motor, máquina",1.0
"Tritt","Tritte","m","paso, puntapié, patada",1.0
"Träne","Tränen","f","lágrima",1.0
"Tuch","Tücher","n","pañuelo, trapo, capote",1.0
"Turm","Türme","m","torre",1.0
"Tätigkeit","Tätigkeiten","f","actividad, trabajo",1.0
"Tüftler","Tüftler","m","persona habilidosa",1.0
"Tür","Türen","f","puerta",1.0
"Tüte","Tüten","f","bolsa",1.0
"U-Bahn","U-Bahnen","f","metro",1.0
"Uhr","Uhren","f","reloj",1.0
"Uhrzeigersinn","-","m","sentido horario",1.0
"Umfrage","Umfragen","f","encuesta",1.0
"Umstand","Umstände","m","hecho, circunstancia",1.0
"Umwelt","-","f","entorno, medio ambiente",1.0
"Umzug","Umzüge","m","mudanza, desfile",1.0
"Unfall","Unfälle","m","accidente",1.0
"Unglück","Unglücke","n","desgracia, accidente, catástrofe, miseria, mala suerte",1.0
"Universität","Universitäten","f","universidad",1.0
"Unrecht","-","n","injusticia",1.0
"Unsicherheit","Unsicherheiten","f","inseguridad",1.0
"Unterlage","Unterlagen","f","documentos",2.0
"Unterlegscheibe","Unterlegscheiben","f","arandela",1.0
"Unterricht","Unterrichte","m","clase, lección",2.0
"Unterschied","Unterschiede","m","diferencia",1.0
"Unterschrift","Unterschriften","f","firma (escrita)",3.0
"Unwetter","Unwetter","n","temporal, tormenta",3.0
"Unwissenheit","-","f","ignorancia",1.0
"Urlaub","Urlaube","m","vacaciones",1.0
"Vampir","Vampire","m","vampiro",1.0
"Variante","Varianten","f","variante",1.0
"Vase","Vasen","f","jarrón, florero",1.0
"Vater","Väter","m","padre",1.0
"Vatikan","-","m","vaticano",1.0
"Vene","Venen","f","vena",1.0
"Ventilator","Ventilatoren","m","ventilador",1.0
"Verb","Verben","n","verbo",1.0
"Verbrennung","Verbrennungen","f","combustión, quema, quemadura",1.0
"Vergangenheit","-","f","pasado, pretérito",1.0
"Vergleich","Vergleiche","m","comparación",1.0
"Verhalten","-","n","comportamiento, conducta",6.0
"Verkauf","Verkäufe","m","venta",1.0
"Verletzte","Verletzten","mf","herido/a",1.0
"Verlust","Verluste","m","pérdida, daño",1.0
"Vermögen","Vermögen","n","bienes, fortuna, patrimonio, capital, capacidad",6.0
"Versicherung","Versicherungen","f","seguro",1.0
"Versprechen","Versprechen","n","promesa",1.0
"Verstärkung","Verstärkungen","f","refuerzo",1.0
"Versuch","Versuche","m","intento, tentativa, experimento, ensayo",11.0
"Vertrag","Verträge","m","contrato",1.0
"Verwaltung","Verwaltungen","f","administración",1.0
"Verwandte","Verwandten","mf","pariente",1.0
"Virus","Viren","n","virus",1.0
"Visum","Visa/Visen","n","visa",1.0
"Vogel","Vögel","m","pájaro",3.0
"Vokabular","Vokabulare","n","vocabulario",12.0
"Vokal","Vokale","m","vocal",4.0
"Volk","Völker","n","pueblo",1.0
"Vordergrund","Vordergründe","m","primer plano, prioridad",1.0
"Vorfeld","Vorfelder","n","preludio",4.0
"Vorgesetzte","Vorgesetzten","mf","superior jerárquico",2.0
"Vorschlag","Vorschläge","m","propuesta",2.0
"Vorschulkind","Vorschulkinder","n","niño preescolar",1.0
"Vorsorgeuntersuchung","Vorsorgeuntersuchungen","f","chequeo preventivo",1.0
"Vorstellungsgespräch","Vorstellungsgespräche","n","entrevista de trabajo",1.0
"Vorteil","Vorteile","m","ventaja",2.0
"Vulkan","Vulkane","m","volcán",1.0
"Waffe","Waffen","f","arma",1.0
"Wagen","Wagen","m","coche",1.0
"Wahl","Wahlen","f","elección, opción",3.0
"Wahlkreis","Wahlkreise","m","distrito electoral",1.0
"Wahrheit","Wahrheiten","f","verdad",1.0
"Wahrscheinlichkeit","Wahrscheinlichkeiten","f","probabilidad",1.0
"Wal","Wale","m","ballena",1.0
"Wald","Wälder","m","bosque",1.0
"Wand","Wände","f","pared",1.0
"Wandel","-","m","cambio, transformación",1.0
"Warnung","Warnungen","f","aviso, advertencia, alerta",1.0
"Waschbecken","Waschbecken","n","lavamanos",1.0
"Waschmittel","Waschmittel","n","detergente ropa",1.0
"Wasser","Wasser","n","agua",1.0
"Wasserfall","Wasserfälle","m","cascada, catarata",1.0
"Wasserklosett","Wasserklosetts/Wasserklosette","n","inodoro",1.0
"Weg","Wege","m","camino",1.0
"Wehr","Wehre","n","dique, presa",1.0
"Wehr","Wehren","f","defensa",1.0
"Wehrmacht","-","f","ejercito aleman 1921 -1945",1.0
"Weihnachten","Weihnachten","n","navidad",1.0
"Weihnachtsbaum","Weihnachtsbäume","m","árbol de navidad",1.0
"Weihnachtslied","Weihnachtslieder","n","canción de Navidad",1.0
"Weihnachtsmann","Weihnachtsmänner","m","papá noel",1.0
"Wein","Weine","m","vino",1.0
"Weizen","Weizen","m","trigo",1.0
"Weizenbier","Weizenbiere","n","cerveza de trigo",1.0
"Welle","Wellen","f","ola, onda",1.0
"Welt","Welten","f","mundo",1.0
"Werk","Werke","n","mecanismo, obra, fábrica, taller",1.0
"Wecker","Wecker","m","despertador",10.0
"Werkstatt","Werkstätten","f","taller",1.0
"Werkzeug","Werkzeuge","n","herramienta",1.0
"Wert","Werte","m","valor, precio",1.0
"West","-","m","oeste",1.0
"Weste","Westen","f","chaleco",2.0
"Westen","-","m","oeste",1.0
"Wetter","-","n","tiempo (clima)",1.0
"Wettkampf","Wettkämpfe","m","competición",1.0
"Wind","Winde","m","viento",1.0
"Winter","Winter","m","invierno",1.0
"Wirtschaft","Wirtschaften","f","economia",1.0
"Wissen","-","n","saber, conocimientos",7.0
"Wissenschaft","Wissenschaften","f","ciencia",1.0
"Wissenschaftler","Wissenschaftler","m","científico",1.0
"Wissenschaftlerin","Wissenschaftlerinnen","f","científica",1.0
"Woche","Wochen","f","semana",1.0
"Wochenende","Wochenenden","n","fin de semana",1.0
"Wodka","Wodkas","m","vodka",1.0
"Wohnort","Wohnorte","m","domicilio",1.0
"Wohnsitz","Wohnsitze","m","domicilio",1.0
"Wohnung","Wohnungen","f","vivienda",1.0
"Wohnzimmer","Wohnzimmer","n","cuarto de estar",1.0
"Wolf","Wölfe","m","lobo",1.0
"Wolke","Wolken","f","nube",1.0
"Wort","Worte/Wörter","n","palabra",1.0
"Wortschatz","Wortschätze","m","léxico, vocabulario",9.0
"Wunde","Wunden","f","herida",1.0
"Wunder","Wunder","n","maravilla, milagro",5.0
"Wunsch","Wünsche","m","deseo",1.0
"Wurm","Würmer","m","gusano",1.0
"Wurst","Würste","f","embutido, salchicha",1.0
"Wut","-","f","rabia, ira, furor",10.0
"Währung","Währungen","f","moneda de un país, divisa",1.0
"Wärme","-","f","calor",1.0
"Wörterbuch","Wörterbücher","n","diccionario",1.0
"Würfel","Würfel","m","cubo, dado",1.0
"Wüste","Wüsten","f","desierto",1.0
"Zahl","Zahlen","f","número, cantidad, cifra",1.0
"Zahn","Zähne","m","diente",1.0
